event_true signal_true reaction_true muonmom muoncos muonpull ntracks negpionmom pospions pospionmom pospiontheta pospionz pi0elpull piontotale energybalance nue muonpos muonz fgdcos effpullx effpully efftime
10 0 0 642.541204566 0.923776270077 -0.161503400794 0 -999.9 0 -999.9 -999.9 -999.9 -999.9 -37.7667716965 -131.642440583 536.009678078 636.289246224 2797.70314881 -999.9 -1.55564238216 -0.291795996252 0.868487843809
11 0 0 603.042035586 0.77903682906 0.00859919575689 0 -999.9 0 -999.9 -999.9 -999.9 -999.9 -50.8580721539 -129.096764245 1445.32786933 371.410989209 2793.37521643 -999.9 -1.58508411388 -0.293995241552 0.860812288448
12 0 0 766.125661639 0.834805196617 0.00950717293829 0 -999.9 0 -999.9 -999.9 -999.9 -999.9 72.3040527841 -127.837934373 -1459.64356887 341.674719282 2801.90763215 -999.9 -1.45534717567 -0.283112875833 0.844306161072
13 0 0 541.843173826 0.61507839478 0.189546677597 0 -999.9 0 -999.9 -999.9 -999.9 -999.9 46.3200678743 -129.228291396 -1032.9982364 413.524543739 2691.15599729 -999.9 -1.58530567225 -0.317400747715 0.673487905337
14 0 0 822.465697774 0.750775068576 -0.478799735405 0 -999.9 0 -999.9 -999.9 -999.9 -999.9 -35.9012450444 -128.842259925 566.016787164 343.001110699 2792.85014002 -999.9 -1.59001295295 -0.342888527669 0.995564798797
15 0 0 609.847690044 0.761241537236 -0.214874812991 0 -999.9 0 -999.9 -999.9 -999.9 -999.9 171.303389836 -128.627651358 858.016244124 346.662843057 2675.15028597 -999.9 -1.63656911613 -0.315038032672 0.94114103552
16 0 0 786.023901405 0.807540621742 -0.473839895953 0 -999.9 0 -999.9 -999.9 -999.9 -999.9 45.9773679182 -128.101545511 724.083195546 304.994064536 2836.86130566 -999.9 -1.53153031901 -0.333387427498 0.824296154985
17 0 0 692.357738908 0.833128132986 -0.300433137702 0 -999.9 0 -999.9 -999.9 -999.9 -999.9 11.579254658 -128.840913822 279.849796057 511.084931562 2950.94137606 -999.9 -1.52956611402 -0.331448221263 0.872472370155
18 0 0 687.830844788 0.650849831644 -0.166599223647 0 -999.9 0 -999.9 -999.9 -999.9 -999.9 17.671782471 -128.944555101 2727.36805953 421.78483391 2869.20444383 -999.9 -1.48044581262 -0.294609001614 0.809828738968
19 0 0 666.390656068 0.84061248214 -0.28683322189 0 -999.9 0 -999.9 -999.9 -999.9 -999.9 59.3445110023 -129.298805921 1643.98709168 285.947946751 3042.01373098 -999.9 -1.49338382688 -0.306284480179 0.980787112874
30 0 1 803.8255982 0.811537141508 0.6448300255 0 -999.9 0 -999.9 -999.9 -999.9 -999.9 -7.30144945119 -999.9 2653.1954495 247.840072615 7565.14663453 0.324707950799 -0.794942157306 -1.29713071042 0.0169877640746
31 0 1 690.150498617 0.72788172015 0.87605536195 0 -999.9 0 -999.9 -999.9 -999.9 -999.9 2.7532522548 -999.9 1989.9660897 241.754507096 7602.49134233 0.303405101132 -0.790183924731 -1.29548744295 0.0713655233111
32 0 1 700.137895059 0.668133839546 0.732213816911 0 -999.9 0 -999.9 -999.9 -999.9 -999.9 -3.64149838965 -999.9 754.768323585 204.913467099 7438.58311601 0.477417767354 -0.724146533837 -1.28809418616 0.0168186231304
33 0 1 939.731920272 0.772298949352 0.622208357938 0 -999.9 0 -999.9 -999.9 -999.9 -999.9 -14.3895832308 -999.9 1163.7513475 260.589441082 7692.84385495 0.385049974266 -0.74373112755 -1.31316581583 0.0606165472603
34 0 1 760.704369463 0.682833029955 0.690641471162 0 -999.9 0 -999.9 -999.9 -999.9 -999.9 -48.2410151784 -999.9 1965.11830499 48.8736645617 7481.77204836 0.905499709118 -0.73468933656 -1.27276650293 -0.020598783998
35 0 1 774.477714712 0.626014207024 0.847219682288 0 -999.9 0 -999.9 -999.9 -999.9 -999.9 -23.1490088957 -999.9 2875.25413359 107.058095271 7579.72591839 0.604861978814 -0.791392170112 -1.26096950529 0.265332587734
36 0 1 819.82522132 0.874029637501 1.0530513764 0 -999.9 0 -999.9 -999.9 -999.9 -999.9 -55.6732165681 -999.9 2696.04932024 238.123371808 7612.36211267 0.413407303399 -0.985093037702 -1.31645241062 0.000182217660164
37 0 1 779.515881084 0.706894778183 0.872424870497 0 -999.9 0 -999.9 -999.9 -999.9 -999.9 12.3989502634 -999.9 2018.13238865 352.861380124 7572.8716178 0.686586255118 -0.816008833765 -1.33402799821 0.0521775851507
38 0 1 639.573397939 0.711684596698 0.68813802005 0 -999.9 0 -999.9 -999.9 -999.9 -999.9 -27.4767352127 -999.9 3310.61425468 103.406254408 7691.17621953 0.849139950994 -0.703264658675 -1.27234149985 0.135484411103
39 0 1 748.175222922 0.635911034374 0.731942697085 0 -999.9 0 -999.9 -999.9 -999.9 -999.9 -25.3489787036 -999.9 1430.78896205 235.783921966 7460.36095893 0.802072398822 -0.776895761122 -1.30536579609 0.0703046364552
