event_true signal_true reaction_true muonmom muoncos muonpull ntracks negpionmom pospions pospionmom pospiontheta pospionz pi0elpull piontotale energybalance nue muonpos muonz fgdcos effpullx effpully efftime
0 0 0 351.235176262 0.807762215985 0.262981829907 0 -999.9 0 -999.9 -999.9 -999.9 -999.9 -3.76842153072 298.107338739 -495.042051487 117.953310929 2447.09817802 -999.9 -0.24339545571 -1.60550084767 0.644555830174
1 0 0 598.401707179 0.545161032258 0.585542282163 0 -999.9 0 -999.9 -999.9 -999.9 -999.9 -34.9735902011 299.415902657 65.9889172953 238.539463697 2554.78982379 -999.9 -0.218736373195 -1.57715804826 0.683249880523
2 0 0 350.093554085 0.822695987108 0.424953169725 0 -999.9 0 -999.9 -999.9 -999.9 -999.9 117.40129093 300.767426639 429.31928223 236.861508036 2340.98208475 -999.9 -0.212511892064 -1.6403011438 0.68400548311
3 0 0 394.517895984 0.661517547797 0.212499095383 0 -999.9 0 -999.9 -999.9 -999.9 -999.9 134.313183365 299.218296767 318.355663379 138.761562224 2251.31576117 -999.9 -0.307082058678 -1.59032777906 0.731586334305
4 0 0 421.947476563 0.693034097319 0.246890889062 0 -999.9 0 -999.9 -999.9 -999.9 -999.9 -46.1301567783 298.762747277 -2014.50979342 135.135379701 2246.03028977 -999.9 -0.218488093286 -1.58108710968 0.635881525693
5 0 0 168.653909092 0.638782781023 0.67789239875 0 -999.9 0 -999.9 -999.9 -999.9 -999.9 -68.2223980678 299.80708021 197.118498553 185.228524938 2331.67629459 -999.9 -0.221645397282 -1.61964155286 0.76808122513
6 0 0 437.827046531 0.665531274863 0.590599209745 0 -999.9 0 -999.9 -999.9 -999.9 -999.9 27.6638101074 298.99211495 1498.08278735 395.835625589 2468.22812265 -999.9 -0.251326314648 -1.61153744819 0.607504380589
7 0 0 330.630093146 0.53878951706 0.558710729532 0 -999.9 0 -999.9 -999.9 -999.9 -999.9 23.3370490605 298.065484268 1909.80226889 278.823809767 2352.52273054 -999.9 -0.223189924292 -1.60973096845 0.637816294341
8 0 0 543.045321871 0.664482671767 0.423046385011 0 -999.9 0 -999.9 -999.9 -999.9 -999.9 85.7260233359 300.471329773 -839.70749082 287.491929926 2339.25125375 -999.9 -0.23719543609 -1.58007904317 0.686168735946
9 0 0 383.034442006 0.621278561186 0.536484616856 0 -999.9 0 -999.9 -999.9 -999.9 -999.9 -128.752954462 297.555295217 1023.58351415 63.7345223604 2267.99435228 -999.9 -0.237914751639 -1.61941433567 0.623173336689
