event_true signal_true reaction_true muonmom muoncos muonpull ntracks negpionmom pospions pospionmom pospiontheta pospionz pi0elpull piontotale energybalance nue muonpos muonz fgdcos effpullx effpully efftime
0 1 2 1058.83137215 0.693534333087 -0.573868507147 1 -97.3659426682 0 -999.9 -999.9 -999.9 -999.9 415.484360349 56.1264988387 3180.10970986 198.142499122 3356.71959676 -999.9 1.9277042989 1.94284566603 -0.126172578315
1 1 2 1036.24566559 0.746620697085 -0.586743144691 1 91.3732442745 0 -999.9 -999.9 -999.9 -999.9 483.108396432 59.3591095729 2169.86524747 471.431579627 3299.22807475 -999.9 1.9257020508 1.93243825682 0.00678349055437
2 1 2 1072.1811841 0.913716196688 -0.586973787448 1 151.457986165 0 -999.9 -999.9 -999.9 -999.9 474.536126262 57.3964382753 1252.41962512 272.981663179 3300.9538701 -999.9 1.94324838465 1.87519526971 0.171741914024
3 1 2 886.474240434 0.767313674744 -0.743559704488 1 -46.7843864821 0 -999.9 -999.9 -999.9 -999.9 342.404338833 58.8531712674 2900.8837497 301.381436524 3323.13874543 -999.9 1.89219406776 1.88964576428 -0.0814834752604
4 1 2 661.698160062 0.670393242746 -0.753019772354 1 143.724674381 0 -999.9 -999.9 -999.9 -999.9 635.787412938 57.0459190688 176.137296486 241.885414976 3476.84790192 -999.9 1.90251076173 1.90675574511 -0.0395417774832
5 1 2 848.157418981 0.753358718181 -0.611681681597 1 165.838339668 0 -999.9 -999.9 -999.9 -999.9 562.846185082 57.9699520761 2381.59769411 391.650428427 3334.67449315 -999.9 1.91888306204 1.92027671179 0.136361752889
6 1 2 1017.58157724 0.702576272464 -0.52484373562 1 40.7713477555 0 -999.9 -999.9 -999.9 -999.9 449.661303971 56.2162635213 3399.17302214 302.053308804 3150.22848245 -999.9 2.01401971581 1.90603576892 -0.0205265816106
7 1 2 886.520084176 0.828862469896 -0.63395689395 1 492.768790104 0 -999.9 -999.9 -999.9 -999.9 493.952668484 57.5968274639 3526.03811315 363.81101879 3158.21388227 -999.9 1.96216544465 1.89540616983 -0.0638937061648
8 1 2 1104.79312731 0.795440407233 -0.580443002614 1 96.5726167187 0 -999.9 -999.9 -999.9 -999.9 561.703988618 55.8426802483 417.334237913 317.540968602 3105.69890835 -999.9 1.8956289361 1.88909931406 -0.0142861019603
9 1 2 860.116038974 0.877893854286 -0.898704308835 1 154.110207583 0 -999.9 -999.9 -999.9 -999.9 440.490647054 57.2039047152 3222.28313133 115.558714921 3424.84219635 -999.9 1.92876638056 1.92398316373 0.0345442038412
20 1 2 7136.66079207 1.09457856266 0.601878463278 3 277.473813061 2 1977.16988759 1.08236043018 -1133.99295044 -999.9 -999.9 -999.9 12464.3172944 140.3271166 26354.7563178 -999.9 -0.160153433472 -0.166617267987 0.1234615212
21 1 2 7166.54757164 1.05150942672 0.694395405768 3 240.373335341 2 2027.508279 1.10014582644 -1133.99295044 -999.9 -999.9 -999.9 12604.1837363 403.631275803 26401.1083954 -999.9 -0.0402594845726 -0.167397589441 0.166591897615
22 1 2 7199.44801565 0.984774495661 0.862488945551 3 83.8621505449 2 2228.98155773 0.581227442081 -1133.99295044 -999.9 -999.9 -999.9 9888.78731179 352.752454538 26422.9261301 -999.9 -0.0909967167311 -0.190598894467 0.177731322568
23 1 2 7314.10665678 1.09314867319 0.74440256577 3 -197.514273722 2 1997.15692705 0.848571086813 -1133.99295044 -999.9 -999.9 -999.9 11989.7807864 376.826790806 26247.6742612 -999.9 -0.124720232325 -0.174442556057 0.121384516904
24 1 2 6986.76774252 1.22606416104 0.850464688476 3 -87.6863381192 2 2156.15572388 0.708119598139 -1133.99295044 -999.9 -999.9 -999.9 13069.6239766 201.260107297 26443.1679358 -999.9 -0.161407234535 -0.129546997368 0.256580171578
25 1 2 7376.69961715 1.05282627418 0.956752765458 3 -145.67801499 2 2283.18447663 0.594842480874 -1133.99295044 -999.9 -999.9 -999.9 8944.69910904 388.538237571 26431.8289629 -999.9 -0.123131670641 -0.159290887324 0.336083947782
26 1 2 7301.79391375 1.09549061698 0.540729383234 3 219.170664188 2 1784.73164744 0.218894327709 -1133.99295044 -999.9 -999.9 -999.9 11015.0499006 391.365988592 26234.6233703 -999.9 -0.0505952719501 -0.203866682312 0.169425253909
27 1 2 7351.07707476 1.26322603434 0.846495899778 3 91.9308673292 2 1727.10494014 1.23043500797 -1133.99295044 -999.9 -999.9 -999.9 10946.7693634 395.758168737 26543.3693251 -999.9 -0.0540203687044 -0.164854500988 0.130287506258
28 1 2 7146.07274853 0.96463333869 0.681091150979 3 -70.7456459589 2 2070.90037397 0.756591099734 -1133.99295044 -999.9 -999.9 -999.9 11369.7194146 382.500322357 26454.397247 -999.9 -0.102217110014 -0.127758135614 -0.00370398104704
29 1 2 7195.91863494 0.845892314427 0.894218403639 3 158.654253528 2 1976.32953943 0.908975045465 -1133.99295044 -999.9 -999.9 -999.9 10168.7762335 203.502810055 26611.3184172 -999.9 -0.157756320039 -0.173923284242 0.283934360523
90 1 2 1629.2789931 0.658357999821 0.106262632576 5 674.430413208 2 2400.86177575 -0.162932321564 -1286.55001831 -999.9 -999.9 61.2643335532 6939.60698509 459.860957462 9501.15250416 -999.9 1.44575776114 1.53496293791 -0.110280798505
91 1 2 1765.14067268 0.706429029353 0.300337498076 5 1156.43648149 2 1908.62940726 0.610955009586 -1286.55001831 -999.9 -999.9 62.4722029704 10287.2866892 307.070776584 9587.8624771 -999.9 1.51267165303 1.51901041354 -0.0509298319636
92 1 2 1750.65874566 0.847689284603 0.420149886307 5 1384.68086515 2 1958.41974521 0.073285985738 -1286.55001831 -999.9 -999.9 60.4535017747 9506.67631025 234.869184341 9414.9235836 -999.9 1.57448469515 1.52363603979 0.152815186563
93 1 2 1671.41956927 0.743480754551 0.26173117441 5 1188.48225061 2 2123.93614405 0.166396727215 -1286.55001831 -999.9 -999.9 61.4890821187 8145.63054119 147.993027555 9531.27575579 -999.9 1.47099255507 1.50234833452 -0.0767046499903
94 1 2 1817.95369331 0.790474335096 0.380164332009 5 997.987389009 2 2388.42152419 -0.263732136802 -1286.55001831 -999.9 -999.9 62.612759521 9385.52739238 306.237018803 9393.58783989 -999.9 1.66644581052 1.50786152899 -0.0839573099441
95 1 2 1637.60084622 0.800483679197 0.078196718376 5 1058.00860299 2 1805.78770048 0.420135289552 -1286.55001831 -999.9 -999.9 61.8088006584 9613.19896394 328.529960426 9273.39098374 -999.9 1.4515909076 1.55115466887 -0.021780379779
