event_true signal_true reaction_true muonmom muoncos muonpull ntracks negpionmom pospions pospionmom pospiontheta pospionz pi0elpull piontotale energybalance nue muonpos muonz fgdcos effpullx effpully efftime
10 1 2 3825.81355271 1.109150628 -0.187631184277 3 1349.95325969 1 2611.41818284 -0.0240068567218 -2606.72964478 -999.9 -999.9 282.102858079 12359.4568403 235.526310977 26316.6010178 -999.9 -0.241442688184 -0.160701886854 0.17170285477
11 1 2 3974.7343661 0.965519395874 -0.317055310681 3 854.958352214 1 2739.80149616 0.892016373034 -2606.72964478 -999.9 -999.9 280.37612051 13244.6077907 350.191104728 26466.0844745 -999.9 -0.221149598249 -0.171001344611 0.296745069115
12 1 2 3795.85338768 1.00250768684 -0.147045434607 3 1271.93764004 1 2721.12610425 0.146366963406 -2606.72964478 -999.9 -999.9 281.498538719 13069.1344797 338.692922381 26515.2579826 -999.9 -0.138576247526 -0.145839489772 0.346214616271
13 1 2 3635.69785014 0.926693427035 -0.284651083652 3 1724.1223792 1 3063.08926814 0.208441975839 -2606.72964478 -999.9 -999.9 279.250694283 11440.3570956 460.782334213 26551.5534543 -999.9 -0.18366198414 -0.20132785295 0.216367193699
14 1 2 3723.70625974 0.92260507337 -0.298136373423 3 913.198124841 1 3065.94177153 0.181754632729 -2606.72964478 -999.9 -999.9 278.258770526 12932.7705722 289.187671615 26467.7585757 -999.9 -0.214329560815 -0.171920249135 0.131014454181
15 1 2 3698.02880165 1.09913683282 -0.357764968369 3 1254.41769914 1 2658.2118688 0.88835863843 -2606.72964478 -999.9 -999.9 281.21307522 13454.6305019 192.911103555 26337.1952384 -999.9 -0.268300377234 -0.169544074302 0.262537011753
16 1 2 3961.89151615 0.99396881102 -0.603600466777 3 1473.24583153 1 3002.39408049 0.312598037685 -2606.72964478 -999.9 -999.9 279.619013187 13474.1078686 291.385332608 26375.0289924 -999.9 -0.214405375535 -0.163355258898 0.237380264471
17 1 2 3737.42947802 1.01241091834 -0.197403971631 3 1249.31280589 1 2990.54223861 0.636150817503 -2606.72964478 -999.9 -999.9 281.059727363 12332.2955243 237.273956926 26493.1931495 -999.9 -0.259700459579 -0.171669912151 0.238147234335
18 1 2 3882.25850797 1.18986910623 -0.229337752936 3 1433.52784519 1 3062.98454525 0.525987801033 -2606.72964478 -999.9 -999.9 279.852893194 13202.5748956 288.270224163 26375.9907785 -999.9 -0.141117610645 -0.167633644423 0.299354951657
19 1 2 3735.49656125 1.21003408668 -0.079869919247 3 1392.11651081 1 2967.05325378 0.581892394099 -2606.72964478 -999.9 -999.9 281.474242362 12385.6105356 423.7927224 26707.4719207 -999.9 -0.152340537031 -0.14089603396 0.130893506062
70 1 2 751.085524012 0.875837252122 0.986970378552 2 -999.9 1 3047.3198991 -0.108722270816 -2663.12442017 -999.9 -999.9 297.351168356 8288.45729694 234.70005611 8083.2100279 -999.9 2.64119805508 2.66358876936 0.233362520912
71 1 2 1043.7373499 0.914479941223 0.890314051325 2 -999.9 1 2883.90376434 0.87328400846 -2663.12442017 -999.9 -999.9 296.46964192 5375.38076012 238.125421859 8121.64441373 -999.9 2.69354485389 2.69954093495 0.629107742469
72 1 2 781.806940716 1.01197422864 0.839431578154 2 -999.9 1 3141.29072502 -0.309870488848 -2663.12442017 -999.9 -999.9 294.974199559 6975.55847168 247.535214003 8000.39071613 -999.9 2.53465494809 2.65518249426 0.38821976007
73 1 2 995.208995958 0.824723122781 1.00145871604 2 -999.9 1 3288.01907537 0.264606974207 -2663.12442017 -999.9 -999.9 296.225403809 7113.55297344 64.6474553084 8216.69831871 -999.9 2.56810657993 2.67698360213 0.314831740444
74 1 2 923.809415083 0.936462349862 0.870712461467 2 -999.9 1 3060.018679 0.0996239416196 -2663.12442017 -999.9 -999.9 295.929703985 9231.94778058 178.945643075 8027.05614389 -999.9 2.73163350538 2.66070640088 0.298651386361
